Class,Validation Accuracy (%),Test Accuracy (%)
Normal,78.2,82.5
Soiling,63.6,71.0
Shading,80.0,76.0
Cracks,63.6,65.6
Ground Fault,100.0,97.3
Arc Fault,98.2,98.9
Diode Fault,65.5,76.0
