feature,importance
pv1_u_range,0.024550206036287534
pv1_i_q25,0.018868511485469454
pv1_u_median,0.01852893226181903
pv1_u_max,0.01842425727941759
pv1_u_q75,0.017603583389301042
pv1_u_roll_mean_range,0.016951620881824184
pv1_u_q25,0.014030807725847598
c_i_roll_mean_range,0.013653858159772363
pv1_u_diff_std,0.013573124163900272
a_i_diff_neg_count,0.013083192399165609
pv1_u_mean,0.012985241395955867
active_power_roll_corr,0.012693579301868088
mppt_power_q25,0.012397584691999279
pv1_u_roll_corr,0.011899906139692294
pv1_i_diff_neg_count,0.011083351067913498
efficiency_roll_mean_mean,0.010986411713194257
active_power_diff_neg_count,0.010719968433986971
b_i_roll_mean_range,0.010663228265673487
a_i_range,0.010423651452488582
efficiency_median,0.01035261892349702
